id,type,name,address_1,address_2,management,phone,schedule_1,schedule_2,installation_date,lat,lng,owner,updated_at,created_at
1,개방화장실,산호빌딩,서울특별시 금천구 벚꽃로38길 15,,서울특별시 금천구청,02-2627-1475,,24시간,1983-10,37.48215245,126.8839528,공공기관-지방공공기관(지방공기업/지방출자출연기관),2020-07-31,
2,개방화장실,대명합동시장,서울특별시 금천구 시흥동 884-4,,서울특별시 금천구청,02-2627-1475,,07:00~24:00,2020-01,37.45428665,126.9018183,공공기관-지방공공기관(지방공기업/지방출자출연기관),2020-07-31,
3,공중화장실,종합청사,서울특별시 금천구 시흥대로73길 70,서울특별시 금천구 시흥동 1020,서울특별시 금천구청,02-2627-1003,,24시간,2020-03,37.45706511,126.8960352,공공기관-지방자치단체,2020-07-31,
4,공중화장실,기아대교,,서울특별시 금천구 시흥동 766-5,서울특별시 금천구청,02-2627-1862,,24시간,2020-03,37.4399576,126.9007057,공공기관-지방자치단체,2020-07-31,
5,공중화장실,시흥대교,,서울특별시 금천구 시흥동 784-21,서울특별시 금천구청,02-2627-1862,,24시간,2020-03,37.4489203,126.8967444,공공기관-지방자치단체,2020-07-31,
6,공중화장실,금천구청역 뒤,,서울특별시 금천구 독산동 732-3,서울특별시 금천구청,02-2627-1862,,24시간,2020-02,37.4553281,126.8936166,공공기관-지방자치단체,2020-07-31,
7,공중화장실,자전거보관소,,서울특별시 금천구 독산동 727-2,서울특별시 금천구청,02-2627-1862,,24시간,2020-01,37.4566535,126.8930308,공공기관-지방자치단체,2020-07-31,
8,공중화장실,금천교,,서울특별시 금천구 가산동 707-3,서울특별시 금천구청,02-2627-1862,,24시간,2020-03,37.4654584,126.8854471,공공기관-지방자치단체,2020-07-31,
9,공중화장실,대륭테크노타운 앞,,서울특별시 금천구 가산동 340-5,서울특별시 금천구청,02-2627-1862,,24시간,2020-04,37.4683556,126.8836688,공공기관-지방자치단체,2020-07-31,
10,공중화장실,철산교,,서울특별시 금천구 가산동 614-45,서울특별시 금천구청,02-2627-1862,,24시간,2020-05,37.4787197,126.8757179,공공기관-지방자치단체,2020-07-31,